city	price
Beijing	289
Beijing	289
Beijing	549
Beijing	479
Beijing	401
Beijing	303
Beijing	521
Beijing	422
Beijing	401
Beijing	458
Beijing	246
Beijing	190
Beijing	352
Beijing	296
Beijing	451
Beijing	218
Beijing	296
Beijing	232
Beijing	211
Beijing	324
Beijing	331
Beijing	570
Beijing	401
Beijing	197
Beijing	218
Beijing	563
Beijing	197
Beijing	697
Beijing	169
Beijing	387
Beijing	190
Beijing	183
Beijing	239
Beijing	232
Beijing	324
Beijing	289
Beijing	451
Beijing	3801
Beijing	267
Beijing	197
Beijing	317
Beijing	218
Beijing	190
Beijing	436
Beijing	183
Beijing	486
Beijing	275
Beijing	338
Beijing	486
Beijing	387
Beijing	296
Beijing	197
Beijing	225
Beijing	331
Beijing	760
Beijing	246
Beijing	197
Beijing	289
Beijing	521
Beijing	521
Beijing	4097
Beijing	197
Beijing	802
Beijing	401
Beijing	267
Beijing	289
Beijing	148
Beijing	331
Beijing	352
Beijing	162
Beijing	267
Beijing	331
Beijing	598
Beijing	500
Beijing	401
Beijing	429
Beijing	500
Beijing	282
Beijing	500
Beijing	296
Beijing	296
Beijing	591
Beijing	239
Beijing	338
Beijing	451
Beijing	275
Beijing	415
Beijing	282
Beijing	239
Beijing	282
Beijing	971
Beijing	296
Beijing	169
Beijing	486
Beijing	296
Beijing	289
Beijing	267
Beijing	183
Beijing	436
Beijing	387
Beijing	127
Beijing	239
Beijing	436
Beijing	465
Beijing	239
Beijing	310
Beijing	373
Beijing	697
Beijing	408
Beijing	873
Beijing	556
Beijing	148
Beijing	1598
Beijing	310
Beijing	310
Beijing	289
Beijing	197
Beijing	401
Beijing	162
Beijing	239
Beijing	260
Beijing	352
Beijing	458
Beijing	148
Beijing	697
Beijing	134
Beijing	211
Beijing	267
Beijing	225
Beijing	148
Beijing	197
Beijing	253
Beijing	493
Beijing	303
Beijing	317
Beijing	190
Beijing	436
Beijing	669
Beijing	197
Beijing	690
Beijing	331
Beijing	260
Beijing	387
Beijing	282
Beijing	197
Beijing	282
Beijing	725
Beijing	253
Beijing	197
Beijing	197
Beijing	197
Beijing	401
Beijing	549
Beijing	197
Beijing	190
Beijing	99
Beijing	296
Beijing	197
Beijing	401
Beijing	232
Beijing	211
Beijing	289
Beijing	267
Beijing	260
Beijing	338
Beijing	267
Beijing	183
Beijing	451
Beijing	260
Beijing	458
Beijing	282
Beijing	120
Beijing	366
Beijing	190
Beijing	296
Beijing	141
Beijing	570
Beijing	267
Beijing	331
Beijing	366
Beijing	296
Beijing	303
Beijing	387
Beijing	218
Beijing	296
Beijing	598
Beijing	739
Beijing	486
Beijing	725
Beijing	598
Beijing	767
Beijing	831
Beijing	697
Beijing	929
Beijing	359
Beijing	1007
Beijing	387
Beijing	267
Beijing	725
Beijing	824
Beijing	824
Beijing	1190
Beijing	190
Beijing	1450
Beijing	197
Beijing	528
Beijing	197
Beijing	197
Beijing	267
Beijing	197
Beijing	197
Beijing	267
Beijing	246
Beijing	486
Beijing	486
Beijing	486
Beijing	486
Beijing	486
Beijing	486
Beijing	486
Beijing	373
Beijing	486
Beijing	486
Beijing	246
Beijing	246
Beijing	296
Beijing	317
Beijing	331
Beijing	570
Beijing	1190
Beijing	401
Beijing	401
Beijing	77
Beijing	225
Beijing	197
Beijing	338
Beijing	296
Beijing	218
Beijing	197
Beijing	570
Beijing	387
Beijing	148
Beijing	331
Beijing	465
Beijing	260
Beijing	380
Beijing	197
Beijing	387
Beijing	458
Beijing	246
Beijing	408
Beijing	239
Beijing	359
Beijing	500
Beijing	500
Beijing	190
Beijing	155
Beijing	260
Beijing	239
Beijing	366
Beijing	176
Beijing	331
Beijing	155
Beijing	218
Beijing	197
Beijing	120
Beijing	127
Beijing	296
Beijing	211
Beijing	197
Beijing	239
Beijing	387
Beijing	197
Beijing	176
Seattle	76
Seattle	80
Seattle	99
Seattle	85
Seattle	95
Seattle	155
Seattle	85
Seattle	89
Seattle	129
Seattle	30
Seattle	125
Seattle	105
Seattle	74
Seattle	65
Seattle	72
Seattle	175
Seattle	95
Seattle	86
Seattle	190
Seattle	60
Seattle	100
Seattle	110
Seattle	120
Seattle	85
Seattle	115
Seattle	109
Seattle	95
Seattle	84
Seattle	134
